Step   61: World 0 Agent 0: pos=(0.02,0.29,0.00) rot=43.7° progress=11.57
Step   62: World 0 Agent 0: pos=(0.02,0.30,0.00) rot=43.7° progress=11.82
Step   63: World 0 Agent 0: pos=(0.03,0.30,0.00) rot=43.7° progress=12.06
Step   64: World 0 Agent 0: pos=(0.04,0.31,0.00) rot=43.7° progress=12.31
Step   65: World 0 Agent 0: pos=(0.04,0.31,0.00) rot=43.7° progress=12.55
Step   66: World 0 Agent 0: pos=(0.05,0.32,0.00) rot=43.7° progress=12.79
Step   67: World 0 Agent 0: pos=(0.05,0.33,0.00) rot=43.7° progress=13.04
Step   68: World 0 Agent 0: pos=(0.06,0.33,0.00) rot=43.7° progress=13.28
Step   69: World 0 Agent 0: pos=(0.06,0.33,0.00) rot=43.7° progress=13.28
Step   70: World 0 Agent 0: pos=(0.06,0.33,0.00) rot=43.7° progress=13.28
Step   71: World 0 Agent 0: pos=(0.06,0.33,0.00) rot=43.7° progress=13.28
Step   72: World 0 Agent 0: pos=(0.06,0.33,0.00) rot=43.7° progress=13.28
Step   73: World 0 Agent 0: pos=(0.06,0.33,0.00) rot=43.7° progress=13.28
Step   74: World 0 Agent 0: pos=(0.05,0.34,0.00) rot=43.7° progress=13.51
Step   75: World 0 Agent 0: pos=(0.05,0.34,0.00) rot=42.3° progress=13.59
Step   76: World 0 Agent 0: pos=(0.04,0.34,0.00) rot=39.9° progress=13.60
Step   77: World 0 Agent 0: pos=(0.04,0.34,0.00) rot=37.6° progress=13.64
Step   78: World 0 Agent 0: pos=(0.03,0.34,0.00) rot=35.3° progress=13.71
Step   79: World 0 Agent 0: pos=(0.03,0.34,0.00) rot=32.9° progress=13.80
Step   80: World 0 Agent 0: pos=(0.03,0.35,0.00) rot=30.6° progress=13.91
Step   81: World 0 Agent 0: pos=(0.02,0.35,0.00) rot=28.5° progress=14.00
Step   82: World 0 Agent 0: pos=(0.03,0.35,0.00) rot=28.9° progress=14.00
Step   83: World 0 Agent 0: pos=(0.02,0.35,0.00) rot=28.8° progress=14.00
Step   84: World 0 Agent 0: pos=(0.02,0.35,0.00) rot=28.8° progress=14.00
Step   85: World 0 Agent 0: pos=(0.02,0.35,0.00) rot=28.8° progress=14.00
Step   86: World 0 Agent 0: pos=(0.02,0.35,0.00) rot=28.8° progress=14.00
Step   87: World 0 Agent 0: pos=(0.02,0.35,0.00) rot=28.8° progress=14.00
Step   88: World 0 Agent 0: pos=(0.02,0.35,0.00) rot=28.8° progress=14.00
Step   89: World 0 Agent 0: pos=(0.02,0.35,0.00) rot=28.8° progress=14.00
Step   90: World 0 Agent 0: pos=(0.02,0.35,0.00) rot=28.8° progress=14.00
Step   91: World 0 Agent 0: pos=(0.02,0.35,0.00) rot=28.8° progress=14.00
Step   92: World 0 Agent 0: pos=(0.03,0.35,0.00) rot=28.8° progress=14.00
Step   93: World 0 Agent 0: pos=(0.04,0.35,0.00) rot=28.7° progress=14.00
Step   94: World 0 Agent 0: pos=(0.05,0.35,0.00) rot=28.7° progress=14.00
Step   95: World 0 Agent 0: pos=(0.06,0.35,0.00) rot=28.7° progress=14.00
